RH	TEMP	WINDSPEED	ELAPSEDTIME 
%	degC	cm/s	ms     
0.0000  14.00  920.125000  112.00
0.0000  14.00  933.160156  223.00
0.0000  14.00  907.101562  332.00
0.0000  14.00  972.324218  442.00
0.0000  14.00  894.085937  552.00
0.0000  14.00  985.394531  662.00
0.0000  14.00  985.394531  773.00
0.0000  14.00  661.441406  882.00
0.0000  14.00  933.160156  993.00
0.0000  14.00  907.101562  1102.00
0.0000  14.00  985.394531  1213.00
0.0000  14.00  894.085937  1323.00
0.0000  14.00  985.394531  1432.00
0.0000  14.00  894.085937  1543.00
0.0000  14.00  985.394531  1652.00
0.0000  14.00  972.324218  1763.00
0.0000  14.00  985.394531  1872.00
0.0000  15.00  985.394531  1983.00
0.0000  15.00  894.085937  2093.00
0.0000  15.00  985.394531  2203.00
0.0000  15.00  894.085937  2313.00
0.0000  16.00  972.324218  2422.00
0.0000  15.00  985.394531  2533.00
0.0000  16.00  894.085937  2642.00
0.0000  14.00  622.960937  2753.00
0.0000  14.00  533.515625  2863.00
0.0000  14.00  610.156250  2973.00
0.0000  15.00  533.515625  3083.00
0.0000  15.00  933.160156  3192.00
0.0000  15.00  855.093750  3303.00
0.0000  14.00  610.156250  3412.00
0.0000  14.00  855.093750  3523.00
0.0000  14.00  972.324218  3633.00
0.0000  14.00  610.156250  3743.00
0.0000  15.00  972.324218  3853.00
0.0000  15.00  933.160156  3963.00
0.0000  14.00  855.093750  4073.00
0.0000  14.00  610.156250  4184.00
0.0000  15.00  855.093750  4293.00
0.0000  15.00  933.160156  4403.00
0.0000  15.00  855.093750  4513.00
0.0000  15.00  894.085937  4623.00
0.0000  15.00  933.160156  4733.00
0.0000  15.00  855.093750  4843.00
0.0000  15.00  933.160156  4954.00
0.0000  15.00  803.242187  5063.00
0.0000  15.00  610.156250  5173.00
0.0000  16.00  894.085937  5283.00
0.0000  15.00  881.078125  5393.00
0.0000  15.00  881.078125  5504.00
0.0000  15.00  803.242187  5613.00
0.0000  15.00  881.078125  5724.00
0.0000  15.00  803.242187  5833.00
0.0000  15.00  881.078125  5943.00
0.0000  15.00  894.085937  6053.00
0.0000  15.00  559.023437  6163.00
0.0000  15.00  881.078125  6274.00
0.0000  15.00  816.191406  6383.00
0.0000  15.00  894.085937  6494.00
0.0000  15.00  803.242187  6603.00
0.0000  14.00  881.078125  6713.00
0.0000  14.00  803.242187  6823.00
0.0000  15.00  933.160156  6933.00
0.0000  15.00  894.085937  7044.00
0.0000  15.00  881.078125  7153.00
0.0000  16.00  881.078125  7264.00
0.0000  15.00  803.242187  7373.00
0.0000  15.00  881.078125  7484.00
0.0000  15.00  803.242187  7593.00
0.0000  15.00  894.085937  7703.00
0.0000  14.00  803.242187  7814.00
0.0000  14.00  571.792968  7923.00
0.0000  14.00  803.242187  8034.00
0.0000  14.00  881.078125  8143.00
0.0000  14.00  894.085937  8254.00
0.0000  14.00  881.078125  8364.00
0.0000  14.00  881.078125  8474.00
0.0000  14.00  881.078125  8584.00
0.0000  14.00  881.078125  8694.00
0.0000  14.00  816.191406  8804.00
0.0000  14.00  894.085937  8914.00
0.0000  14.00  803.242187  9024.00
0.0000  14.00  881.078125  9135.00
0.0000  14.00  495.320312  9244.00
0.0000  14.00  920.125000  9355.00
0.0000  14.00  829.148437  9464.00
0.0000  14.00  933.160156  9574.00
0.0000  14.00  803.242187  9684.00
0.0000  14.00  920.125000  9794.00
0.0000  14.00  855.093750  9905.00
0.0000  14.00  933.160156  10014.00
0.0000  14.00  894.085937  10125.00
0.0000  14.00  933.160156  10234.00
0.0000  14.00  855.093750  10345.00
0.0000  14.00  881.078125  10455.00
0.0000  14.00  855.093750  10565.00
0.0000  14.00  920.125000  10676.00
0.0000  14.00  855.093750  10785.00
0.0000  14.00  946.203125  10896.00
0.0000  14.00  816.191406  11005.00
0.0000  14.00  881.078125  11116.00
0.0000  14.00  495.320312  11226.00
0.0000  14.00  610.156250  11336.00
0.0000  14.00  894.085937  11446.00
0.0000  14.00  933.160156  11556.00
0.0000  14.00  933.160156  11666.00
0.0000  14.00  894.085937  11777.00
0.0000  14.00  881.078125  11886.00
0.0000  14.00  803.242187  11997.00
0.0000  14.00  881.078125  12106.00
0.0000  14.00  816.191406  12217.00
0.0000  14.00  881.078125  12326.00
0.0000  14.00  764.457031  12437.00
0.0000  14.00  894.085937  12548.00
0.0000  14.00  816.191406  12657.00
0.0000  14.00  881.078125  12768.00
0.0000  14.00  933.160156  12877.00
0.0000  14.00  881.078125  12988.00
0.0000  14.00  881.078125  13097.00
0.0000  14.00  881.078125  13208.00
0.0000  14.00  881.078125  13318.00
0.0000  14.00  816.191406  13428.00
0.0000  14.00  881.078125  13538.00
0.0000  14.00  816.191406  13648.00
0.0000  14.00  881.078125  13758.00
0.0000  14.00  816.191406  13869.00
0.0000  14.00  920.125000  13979.00
0.0000  14.00  855.093750  14089.00
0.0000  14.00  881.078125  14199.00
0.0000  14.00  803.242187  14309.00
0.0000  14.00  894.085937  14419.00
0.0000  14.00  881.078125  14529.00
0.0000  14.00  881.078125  14640.00
0.0000  14.00  842.117187  14749.00
0.0000  14.00  764.457031  14860.00
0.0000  14.00  855.093750  14969.00
0.0000  14.00  790.304687  15080.00
0.0000  14.00  881.078125  15190.00
0.0000  14.00  803.242187  15300.00
0.0000  13.00  842.117187  15411.00
0.0000  13.00  764.457031  15520.00
0.0000  13.00  842.117187  15631.00
0.0000  14.00  868.082031  15740.00
0.0000  14.00  881.078125  15851.00
0.0000  14.00  842.117187  15961.00
0.0000  14.00  803.242187  16071.00
0.0000  13.00  842.117187  16181.00
0.0000  14.00  764.457031  16291.00
0.0000  14.00  881.078125  16402.00
0.0000  14.00  816.191406  16512.00
0.0000  13.00  881.078125  16622.00
0.0000  13.00  816.191406  16732.00
0.0000  13.00  842.117187  16842.00
0.0000  13.00  881.078125  16952.00
0.0000  14.00  894.085937  17062.00
0.0000  13.00  520.773437  17172.00
0.0000  13.00  764.457031  17283.00
0.0000  13.00  842.117187  17392.00
0.0000  14.00  764.457031  17503.00
0.0000  14.00  842.117187  17613.00
0.0000  13.00  751.546875  17723.00
0.0000  13.00  842.117187  17833.00
0.0000  14.00  842.117187  17943.00
0.0000  14.00  842.117187  18054.00
0.0000  14.00  842.117187  18163.00
0.0000  14.00  751.546875  18274.00
0.0000  13.00  842.117187  18383.00
0.0000  13.00  751.546875  18494.00
0.0000  14.00  842.117187  18604.00
0.0000  14.00  764.457031  18714.00
0.0000  14.00  842.117187  18825.00
0.0000  14.00  764.457031  18934.00
0.0000  14.00  842.117187  19045.00
0.0000  14.00  842.117187  19154.00
0.0000  14.00  842.117187  19265.00
0.0000  14.00  842.117187  19375.00
0.0000  14.00  842.117187  19485.00
0.0000  14.00  881.078125  19595.00
0.0000  14.00  495.320312  19705.00
0.0000  14.00  842.117187  19815.00
0.0000  14.00  764.457031  19926.00
0.0000  14.00  881.078125  20036.00
0.0000  14.00  444.523437  20146.00
0.0000  14.00  842.117187  20256.00
0.0000  14.00  894.085937  20366.00
0.0000  14.00  881.078125  20476.00
0.0000  14.00  881.078125  20586.00
0.0000  14.00  894.085937  20697.00
